COURSE CODE,COURSE TITLE,UNITS,LABORATORY,UNITS_LAB,PREREQUISITE
CCS0001,INTRODUCTION TO COMPUTING (LEC),2.0,CCS0001L,1.0,
CCS0003,COMPUTER PROGRAMMING 1 (LEC),2.0,CCS0003L,1.0,
GED0004,PHYSICAL EDUCATION 1,3.0,,
GED0009,READINGS IN PHILIPPINE HISTORY,3.0,,,
GED0011,"SCIENCE, TECHNOLOGY AND SOCIETY",3.0,,,
GED0085,GENDER AND SOCIETY,3.0,,,
NSTP1,CIVIC WELFARE TRAINING SERVICE 1,0.0,,,
CCS0005,INTRODUCTION TO HUMAN COMPUTER INTERACTION (LEC),2.0,CCS0005L,1.0,CCS0001
CCS0007,COMPUTER PROGRAMMING 2 (LEC),2.0,CCS0007L,1.0,CCS0003
GED0001,SPECIALIZED ENGLISH PROGRAM 1,3.0,,,
GED0006,PERSONAL AND PROFESSIONAL EFFECTIVENESS,2.0,,,
GED0015,PHYSICAL EDUCATION 2,3.0,,,GED0004
GED0027,MATHEMATICS IN THE MODERN WORLD,3.0,,,
GED0029,ANALYTIC GEOMETRY WITH CALCULUS,3.0,,,
NSTP2,CIVIC WELFARE TRAINING SERVICE 2,0.0,,,
CCS0105,PROFESSIONAL DEVELOPMENT (COMPUTING PROFESSION),1.0,,,GED0006
CS0001,DISCRETE STRUCTURES 1,3.0,,,GED0027
GED0007,ART APPRECIATION,3.0,,,
GED0023,PHYSICAL EDUCATION 3,3.0,,,GED0015
GED0035,THE CONTEMPORARY WORLD,3.0,,,
GED0039,APPLIED STATISTICS,3.0,,,GED0027
GED0055,MATHEMATICAL ANALYSIS,3.0,,,GED0029
CCS0015,DATA STRUCTURES AND ALGORITHMS (LEC),2.0,CCS0015L,1.0,CCS0007
CS0003,COMPUTER SYSTEMS & ARCHITECTURE,2.0,CS0003L,1.0,CCS0001
CS0021,DISCRETE STRUCTURES 2,3.0,,,CS0001
CS0069,OBJECT ORIENTED PROGRAMMING,2.0,CS0069L,1.0,CCS0007
GED0021,SPECIALIZED ENGLISH PROGRAM 2,3.0,,,GED0001
GED0081,COLLEGE PHYSICS 1 LECTURE,2.0,GED0081L,1.0,GED0029
CCS0021,INFORMATION MANAGEMENT (LEC),2.0,CCS0021L,1.0,CCS0015
CCS0101,DESIGN THINKING (CCS),3.0,,,CCS0005
CS0007,ALGORITHM,3.0,,,CS0069-CCS0015-GED0055
CS0009,FUNDAMENTALS OF ANALYTICS,3.0,,,GED0039
CS0017,OPERATING SYSTEM,2.0,CS0017L,1.0,CS0003
GED0031,PURPOSIVE COMMUNICATION,3.0,,,GED0021
CCS0043,APPLICATIONS DEVELOPMENT AND EMERGING TECHNOLOGIES (LEC),2.0,CCS0043L,1.0,CS0069-CCS0021
CCS0103,TECHNOPRENEURSHIP (CCS),3.0,,,CCS0101
CS0005,DATABASE SYSTEMS,3.0,,,CCS0021
CS0023,AUTOMATA THEORY AND FORMAL LANGUAGES,3.0,,,CS0001-CS0007
CS0048,CS SPECIALIZATION 1 (STRUCTURED PROGRAMMING LANGUAGE),2.0,CS0048L,1.0,CS0069
CS0051,CS ELECTIVE - PARALLEL AND DISTRIBUTED COMPUTING,3.0,,,CS0069-CCS0015-CS0017
CS0011,MOBILE PROGRAMMING,3.0,,,CS0069
CS0013,NETWORKS AND COMMUNICATIONS 1,3.0,,,CCS0001
CS0025,SOFTWARE ENGINEERING 1,3.0,,,CCS0021-CS0007
CS0045,CS ELECTIVE - COMPUTER GRAPHICS AND VISUAL COMPUTING,3.0,,,CS0069-CCS0015
CS0053,CS SPECIALIZATION 2 - PROGRAMMING TOOLS AND TECHNIQUES,3.0,,,CS0048
GED0019,UNDERSTANDING THE SELF,3.0,,,
GED0075,LINEAR ALGEBRA,3.0,,,GED0055
CS0016,NETWORK AND COMMUNICATIONS 2A,3.0,,,CS0013
CS0019,MODELING AND SIMULATION,3.0,,,CS0007
CS0027,CS PROJECT MANAGEMENT,3.0,,,CS0025
CS0031,SOFTWARE ENGINEERING 2,3.0,,,CS0025
CS0035,PROGRAMMING LANGUAGES,3.0,,,CS0023
GED0059,MATHEMATICAL METHODS,3.0,,,GED0039
GED0083,COLLEGE PHYSICS 2 LECTURE,2.0,GED0083L,1.0,GED0081
CCS0047,NUMBER THEORY,3.0,,,CS0001-CCS0015
CS0029,INFORMATION ASSURANCE AND SECURITY,3.0,,,CS0013
CS0033,CS PROJECT 1,3.0,,,CS0027-CS0031
CS0057,CS SPECIALIZATION 3 - IMAGE PROCESSING,3.0,,,CS0019
GED0061,ETHICS,3.0,,,CCS0105
GED0065,ENVIRONMENTAL SCIENCE,3.0,,,
GED0073,GE ELECTIVE 2,3.0,,,
CS0037,SOCIAL ISSUES AND PROFESSIONAL PRACTICE,3.0,,,GED0061
CS0039,CS PROJECT 2,3.0,,,CS0033
CS0061,CS SPECIALIZATION 4 - BUSINESS PROCESS FOR COMPUTING,2.0,CS0061L,1.0,CCS0021
CS0065,CS ELECTIVE - INTELLIGENT SYSTEMS,3.0,,,CS0019-CS0023
GED0047,FOREIGN LANGUAGE,3.0,,,
GED0049,LIFE AND WORKS OF RIZAL,3.0,,,
CS0041,INTERNSHIP 1 (520 HOURS),9.0,,,CS0039-CS0037
CS0043,INTERNSHIP 2 (520 HOURS),9.0,,,CS0041

